matches,qName,tName,tStart,tEnd,qStarts,tStarts
56,78,chrX,73844441,73844502,2,73844441
55,78,chrX,73844733,73844793,0,73844733
55,78,chrX,73845024,73845084,0,73845024
54,78,chrX,73845603,73845664,"0,6","73845603,73845610"
83,79,chrX,73846113,73846196,0,73846113
76,79,chrX,73845231,73845314,0,73845231
51,79,chrX,73845520,73845880,"0,12","73845520,73845837"
23,79,chrX,73844940,73844964,0,73844940
20,79,chr5,166391952,166391972,47,166391952
83,80,chrX,73846030,73846113,0,73846030
76,80,chrX,73845148,73845231,0,73845148
74,80,chrX,73844857,73844940,0,73844857
71,80,chrX,73845438,73845520,"0,32","73845438,73845469"
49,80,chrX,73844563,73844616,0,73844563
48,80,chrX,73845738,73845791,0,73845738
21,80,chr2,49996400,49996422,54,49996400
83,81,chrX,73845947,73846030,0,73845947
71,81,chrX,73845643,73846603,"0,36,51","73845643,73845681,73846572"
70,81,chrX,73845353,73845437,"0,36","73845353,73845391"
42,81,chrX,73845063,73845734,"0,66","73845063,73845721"
26,81,chrX,73846519,73846546,0,73846519
22,81,chr16,72836668,72836691,"44,48","72836668,72836673"
21,81,chr4,174250854,174250876,15,174250854
26,81,chrX,73844270,73844302,43,73844270
83,82,chrX,73845864,73845947,0,73845864
78,82,chrX,73845272,73845353,2,73845272
76,82,chrX,73846153,73846235,1,73846153
71,82,chrX,73844979,73845634,"0,17,51","73844979,73845576,73845611"
41,82,chrX,73844730,73844772,41,73844730
83,84,chrX,73845698,73845781,0,73845698
70,84,chrX,73845114,73845191,6,73845114
65,84,chrX,73844532,73844602,9,73844532
64,84,chrX,73844827,73844896,10,73844827
36,84,chrX,73845435,73845476,"37,72","73845435,73845469"
83,85,chrX,73845615,73845698,0,73845615
77,85,chrX,73845325,73845408,0,73845325
70,85,chrX,73844744,73844823,0,73844744
57,85,chrX,73845059,73845118,24,73845059
59,85,chrX,73844460,73844527,10,73844460
48,85,chrX,73845919,73845970,0,73845919
44,85,chrX,73846207,73846256,0,73846207
23,85,chrX,73846518,73846542,27,73846518
83,88,chrX,73845366,73845449,0,73845366
65,88,chrX,73845656,73845749,"0,61","73845656,73845727"
58,88,chrX,73844506,73844574,15,73844506
21,88,chrX,73846593,73846615,61,73846593
83,91,chrX,73845117,73845200,0,73845117
68,91,chrX,73844279,73844602,"0,7","73844279,73844539"
73,91,chrX,73846573,73846656,0,73846573
64,91,chrX,73845707,73845777,0,73845707
63,91,chrX,73846289,73846360,"0,26","73846289,73846316"
42,91,chrX,73844854,73844897,28,73844854
36,91,chrX,73845407,73845450,0,73845407
83,92,chrX,73845034,73845117,0,73845034
71,92,chrX,73845332,73845407,8,73845332
70,92,chrX,73845622,73845697,8,73845622
50,92,chrX,73845926,73845977,8,73845926
54,92,chrX,73844460,73844520,11,73844460
40,92,chrX,73846214,73846256,8,73846214
41,92,chrX,73846498,73846542,8,73846498
83,93,chrX,73844951,73845034,0,73844951
53,93,chrX,73845857,73845918,"21,50","73845857,73845885"
83,94,chrX,73844868,73844951,0,73844868
74,94,chrX,73845749,73846124,"0,30","73845749,73846071"
20,94,chr9,79945395,79945415,0,79945395
20,94,chr16,47777740,47777760,10,47777740
20,94,chr19,18430441,18430461,62,18430441
83,95,chrX,73844785,73844868,0,73844785
75,95,chrX,73845076,73845749,"0,47","73845076,73845713"
34,95,chrX,73845656,73845694,0,73845656
83,97,chrX,73844619,73844702,0,73844619
38,97,chrX,73845835,73845877,41,73845835
23,97,chr18_KZ559115v1_fix,113435,113459,"20,24","113435,113440"
23,97,chr18,45493320,45493344,"20,24","45493320,45493325"
83,98,chrX,73844536,73844619,0,73844536
79,98,chrX,73845121,73846377,"0,55","73845121,73846349"
76,98,chrX,73845711,73845794,0,73845711
71,98,chrX,73844830,73844910,0,73844830
62,98,chrX,73845427,73845493,"16,59","73845427,73845469"
45,98,chrX,73846577,73846626,0,73846577
36,98,chrX,73846014,73846051,11,73846014
83,99,chrX,73844453,73844536,0,73844453
60,99,chrX,73845335,73845402,7,73845335
54,99,chrX,73845045,73845105,7,73845045
34,99,chrX,73845929,73845965,7,73845929
23,99,chrX,70064652,70064676,"25,29","70064652,70064657"
83,100,chrX,73844370,73844453,0,73844370
23,100,chrX,41964747,41964770,49,41964747
21,100,chr11,12254531,12254552,17,12254531
83,102,chrX,73844204,73844287,0,73844204
20,102,chrY,20484116,20484136,26,20484116
83,103,chrX,73844121,73844204,0,73844121
21,103,chr2,23365514,23365536,8,23365514
83,104,chrX,73844038,73844121,0,73844038
23,104,chrX,36072491,36072516,"3,11","36072491,36072500"
20,104,chr13,74595581,74595601,33,74595581
83,106,chrX,73843872,73843955,0,73843872
24,106,chr11,22726472,22726497,27,22726472
23,106,chr17,70708549,70708579,"42,58","70708549,70708572"
21,106,chr8,71220087,71220108,27,71220087
20,106,chr2,106322823,106322843,50,106322823
83,109,chrX,73843623,73843706,0,73843623
83,110,chrX,73843540,73843623,0,73843540
24,110,chr5,86965879,86965909,"43,61","86965879,86965902"
83,112,chrX,73843374,73843457,0,73843374
83,113,chrX,73843291,73843374,0,73843291
83,115,chrX,73843125,73843208,0,73843125
24,115,chr10,49205120,49205144,"20,40","49205120,49205138"
83,116,chrX,73843042,73843125,0,73843042
20,116,chr17,5692181,5692201,62,5692181
83,117,chrX,73842959,73843042,0,73842959
22,117,chr11,10847113,10847136,12,10847113
83,120,chrX,73842710,73842793,0,73842710
20,120,chr12,58596234,58596254,31,58596234
83,122,chrX,73842544,73842627,0,73842544
83,124,chrX,73842378,73842461,0,73842378
23,124,chr3,33697390,33697415,40,33697390
21,124,chr17_MU273383v1_fix,50943,50964,0,50943
21,124,chr17,74474495,74474516,0,74474495
20,124,chr2,147911643,147911663,30,147911643
83,125,chrX,73842295,73842378,0,73842295
83,126,chrX,73842212,73842295,0,73842212
20,126,chr11,22402432,22402452,6,22402432
83,127,chrX,73842129,73842212,0,73842129
22,127,chr4,164441713,164441735,16,164441713
22,127,chr3,131243662,131243684,8,131243662
24,127,chr9,2828713,2828741,"57,66","2828713,2828725"
22,127,chr6_GL000252v2_alt,3280240,3280262,31,3280240
22,127,chr1,155905059,155905081,26,155905059
83,134,chrX,73841548,73841631,0,73841548
83,135,chrX,73841465,73841548,0,73841465
22,135,chr5,120741457,120741479,26,120741457
20,135,chr4,37372355,37372375,39,37372355
20,135,chr14_ML143368v1_alt,17498,17518,41,17498
20,135,chr14,46327187,46327207,41,46327187
83,136,chrX,73841382,73841465,0,73841382
83,140,chrX,73831144,73831227,0,73831144
79,141,chrX,73831065,73831144,4,73831065
24,141,chr18,62012660,62012688,"43,49","62012660,62012670"
23,141,chr16,4059527,4059552,"49,54","4059527,4059534"
20,141,chr22,41456716,41456736,51,41456716
20,141,chr19,9064101,9064121,51,9064101
83,142,chrX,73829144,73829227,0,73829144
77,143,chrX,73829067,73829144,6,73829067
83,145,chrX,73827812,73827895,0,73827812
23,145,chr19,5213530,5213555,"49,67","5213530,5213550"
23,145,chr11,103691854,103691881,"45,52","103691854,103691865"
20,145,chr18,65085238,65085258,22,65085238
20,145,chr10,108517153,108517173,17,108517153
83,148,chrX,73827563,73827646,0,73827563
24,148,chr3,95466914,95466948,"31,47","95466914,95466940"
22,148,chr12,56222895,56222918,"59,76","56222895,56222913"
22,148,chrY,26330203,26330226,25,26330203
20,148,chr12,114532558,114532578,31,114532558
21,148,chr6,103243345,103243367,31,103243345
21,148,chr18,78394104,78394126,0,78394104
83,151,chrX,73827314,73827397,0,73827314
23,151,chrX,125417487,125417510,34,125417487
24,151,chr5,98567601,98567627,"34,40","98567601,98567609"
83,153,chrX,73827148,73827231,0,73827148
21,153,chr2,157532478,157532499,18,157532478
83,156,chrX,73826899,73826982,0,73826899
83,157,chrX,73826816,73826899,0,73826816
21,157,chr15_ML143371v1_fix,2349290,2349312,0,2349290
21,157,chr15,21760130,21760152,0,21760130
83,158,chrX,73826733,73826816,0,73826733
83,160,chrX,73826567,73826650,0,73826567
83,161,chrX,73826484,73826567,0,73826484
22,161,chr3,164438659,164438682,54,164438659
83,163,chrX,73826318,73826401,0,73826318
83,166,chrX,73826069,73826152,0,73826069
20,166,chr6_GL000252v2_alt,3688098,3688118,47,3688098
20,166,chr6_GL000251v2_alt,3885878,3885898,47,3885878
20,166,chr6,32447788,32447808,47,32447788
20,166,chr6_KI270758v1_alt,6924,6944,16,6924
20,166,chr5,32331269,32331289,53,32331269
83,167,chrX,73825986,73826069,0,73825986
20,167,chr3,132823572,132823592,54,132823572
83,168,chrX,73825903,73825986,0,73825903
83,172,chrX,73825571,73825654,0,73825571
22,172,chr17,30451438,30451461,49,30451438
83,180,chrX,73824907,73824990,0,73824907
23,180,chr20,40358489,40358512,0,40358489
22,180,chr9,9878954,9878976,0,9878954
22,180,chr14,70706615,70706637,0,70706615
23,180,chr1,96465289,96465316,"0,7","96465289,96465300"
22,180,chr1,41325445,41325467,0,41325445
22,180,chrY,17814440,17814462,61,17814440
22,180,chr14,98500465,98500487,61,98500465
22,180,chr10,28823889,28823911,61,28823889
22,180,chr1,41376718,41376740,61,41376718
21,180,chr9,124664610,124664631,0,124664610
21,180,chr7,36422230,36422251,0,36422230
21,180,chr5,97561670,97561691,0,97561670
21,180,chr5,27768770,27768791,0,27768770
21,180,chr3,53195615,53195636,0,53195615
21,180,chr2,215657460,215657481,0,215657460
21,180,chr2,98170130,98170151,0,98170130
21,180,chr17,12421230,12421251,0,12421230
21,180,chr16,85442430,85442451,0,85442430
21,180,chr13,99316407,99316428,0,99316407
21,180,chr13,94841355,94841376,0,94841355
21,180,chr12,124383026,124383047,0,124383026
21,180,chr12,109147818,109147839,0,109147818
21,180,chr12,103626590,103626611,0,103626590
21,180,chr12,16508208,16508229,0,16508208
21,180,chr12,3919517,3919538,0,3919517
22,180,chr10,90323828,90323851,0,90323828
21,180,chr10,79329653,79329674,0,79329653
21,180,chr10,35472597,35472618,0,35472597
21,180,chr1,118296162,118296183,0,118296162
21,180,chr1,107174898,107174919,0,107174898
21,180,chr1,63812522,63812543,0,63812522
21,180,chr9,16062595,16062616,62,16062595
21,180,chr6_GL000252v2_alt,1802255,1802276,62,1802255
21,180,chr5,77235620,77235641,62,77235620
21,180,chr4,172684275,172684296,62,172684275
21,180,chr4,87981875,87981896,62,87981875
21,180,chr22,46881240,46881261,62,46881240
21,180,chr2,144041020,144041041,62,144041020
21,180,chr19,9972110,9972131,62,9972110
21,180,chr13,46198242,46198263,62,46198242
21,180,chr12,120437504,120437525,62,120437504
21,180,chr11,134562131,134562152,62,134562131
21,180,chr11,45556024,45556045,62,45556024
21,180,chr10,123132660,123132681,62,123132660
21,180,chr10,120734307,120734328,62,120734307
21,180,chr10,86318751,86318772,62,86318751
21,180,chr1,175454301,175454322,62,175454301
21,180,chr1,116473271,116473292,62,116473271
21,180,chr1,63077131,63077152,62,63077131
21,180,chr1,55308048,55308069,62,55308048
21,180,chr1,41387418,41387439,62,41387418
21,180,chr1,18624888,18624909,62,18624888
21,180,chr1,18809112,18809133,62,18809112
21,180,chr13,24766204,24766226,0,24766204
20,180,chr12,42687207,42687227,0,42687207
20,180,chr12,29511426,29511446,2,29511426
20,180,chr1,225300358,225300378,0,225300358
20,180,chr1,217493518,217493538,0,217493518
21,180,chr1,178214285,178214307,0,178214285
20,180,chr1,86237643,86237663,0,86237643
20,180,chr1,23608541,23608561,0,23608541
20,180,chr1,6203338,6203358,0,6203338
21,180,chr12,104646831,104646853,61,104646831
20,180,chr12,83348393,83348413,63,83348393
20,180,chr12,554397,554417,63,554397
20,180,chr11,113378904,113378924,63,113378904
20,180,chr11,111942583,111942603,63,111942583
20,180,chr1,153249790,153249810,62,153249790
21,180,chr1,8257149,8257171,61,8257149
20,180,chr1,3089921,3089941,62,3089921
83,181,chrX,73824824,73824907,0,73824824
20,181,chr3,102276284,102276304,62,102276284
20,181,chr1,103323589,103323609,62,103323589
83,182,chrX,73824741,73824824,0,73824741
23,182,chr19,52328645,52328669,"11,30","52328645,52328665"
21,182,chr1,90021408,90021429,18,90021408
20,182,chr3,130538957,130538977,10,130538957
20,182,chr2,53544415,53544435,9,53544415
20,182,chr9,90924314,90924334,47,90924314
83,183,chrX,73824658,73824741,0,73824658
20,183,chr2,205121342,205121362,37,205121342
21,183,chr2,56502914,56502936,51,56502914
20,183,chr1,97176580,97176600,42,97176580
20,183,chr5,50848018,50848038,21,50848018
83,184,chrX,73824575,73824658,0,73824575
20,184,chrY,22742809,22742829,57,22742809
83,185,chrX,73824492,73824575,0,73824492
20,185,chr1,74411608,74411628,57,74411608
83,187,chrX,73824326,73824409,0,73824326
23,187,chr11,109583063,109583089,"6,24","109583063,109583084"
24,187,chr6,142779661,142779686,"0,10","142779661,142779670"
21,187,chr5,12465779,12465801,11,12465779
20,187,chr3,68543435,68543455,43,68543435
20,187,chr1,87950634,87950654,40,87950634
83,192,chrX,73823911,73823994,0,73823911
83,194,chrX,73823745,73823828,0,73823745
20,194,chr2,167048651,167048671,44,167048651
83,195,chrX,73823662,73823745,0,73823662
21,195,chr18,41002610,41002631,58,41002610
20,195,chr6,104790276,104790296,5,104790276
83,196,chrX,73823579,73823662,0,73823579
83,198,chrX,73823413,73823496,0,73823413
20,198,chr2,206583501,206583521,58,206583501
83,199,chrX,73823330,73823413,0,73823330
83,201,chrX,73823164,73823247,0,73823164
22,201,chr11,7611588,7611611,"39,44","7611588,7611594"
20,201,chr10,30049695,30049715,54,30049695
83,202,chrX,73823081,73823164,0,73823081
23,202,chr4,174766332,174766356,"2,8","174766332,174766339"
21,202,chr12,28807660,28807681,0,28807660
20,202,chr2_MU273338v1_alt,478713,478733,19,478713
20,202,chr2,172039648,172039668,19,172039648
83,204,chrX,73822915,73822998,0,73822915
83,205,chrX,73822832,73822915,0,73822832
23,205,chr4,171845896,171845926,"28,35","171845896,171845910"
83,208,chrX,73822583,73822666,0,73822583
23,208,chr4,157013715,157013739,43,157013715
21,208,chr7,86227152,86227173,44,86227152
83,211,chrX,73822334,73822417,0,73822334
83,212,chrX,73822251,73822334,0,73822251
20,212,chr10,103177667,103177687,19,103177667
83,214,chrX,73822085,73822168,0,73822085
83,220,chrX,73821587,73821670,0,73821587
20,220,chr14,27785913,27785933,29,27785913
83,223,chrX,73821338,73821421,0,73821338
83,224,chrX,73821255,73821338,0,73821255
83,226,chrX,73821089,73821172,0,73821089
83,228,chrX,73820923,73821006,0,73820923
23,228,chr4,68634929,68634953,19,68634929
24,228,chr3,183336264,183336289,"38,45","183336264,183336270"
22,228,chr20,24699534,24699557,"27,32","24699534,24699540"
20,228,chr4,100541173,100541193,7,100541173
20,228,chr3,141277904,141277924,39,141277904
20,228,chr2,154597198,154597218,8,154597198
83,229,chrX,73820840,73820923,0,73820840
20,229,chrX,65507025,65507045,18,65507025
83,230,chrX,73820757,73820840,0,73820757
21,230,chr3,24178215,24178237,53,24178215
20,230,chr2,148659472,148659492,15,148659472
20,230,chr6,13964024,13964044,23,13964024
83,231,chrX,73820674,73820757,0,73820674
24,231,chr8,10825452,10825476,"50,70","10825452,10825471"
21,231,chr4,187441644,187441665,28,187441644
