Experiment: DH_23.01.31_FET-siRNAs  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	65280	L20	Sample 284			0	
True	65280	L21	Sample 285			0	
True	65280	L22	Sample 286			0	
True	65280	L23	Sample 287			0	
True	65280	L24	Sample 288			0	
True	65280	M1	Sample 289			0	
True	65280	M2	Sample 290			0	
True	65280	M3	Sample 291			0	
True	65280	M4	Sample 292			0	
True	65280	M5	Sample 293			0	
True	65280	M6	Sample 294			0	
True	65280	M7	Sample 295			0	
True	65280	M8	Sample 296			0	
True	65280	M9	Sample 297			0	
True	65280	M10	Sample 298			0	
True	65280	M11	Sample 299			0	
True	65280	M12	Sample 300			0	
True	65280	M13	Sample 301			0	
True	65280	M14	Sample 302			0	
True	65280	M15	Sample 303			0	
True	65280	M16	Sample 304			0	
True	65280	M17	Sample 305			0	
True	65280	M18	Sample 306			0	
True	65280	M19	Sample 307			0	
True	65280	M20	Sample 308			0	
True	65280	M21	Sample 309			0	
True	65280	M22	Sample 310			0	
True	65280	M23	Sample 311			0	
True	65280	M24	Sample 312			0	
True	65280	N1	Sample 313			0	
True	65280	N2	Sample 314			0	
True	65280	N3	Sample 315			0	
True	65280	N4	Sample 316			0	
True	65280	N5	Sample 317			0	
True	65280	N6	Sample 318			0	
True	65280	N7	Sample 319			0	
True	65280	N8	Sample 320			0	
True	65280	N9	Sample 321			0	
True	65280	N10	Sample 322			0	
True	65280	N11	Sample 323			0	
True	65280	N12	Sample 324			0	
True	65280	N13	Sample 325			0	
True	65280	N14	Sample 326			0	
True	65280	N15	Sample 327			0	
True	65280	N16	Sample 328			0	
True	65280	N17	Sample 329			0	
True	65280	N18	Sample 330			0	
True	65280	N19	Sample 331			0	
True	65280	N20	Sample 332			0	
True	65280	N21	Sample 333			0	
True	65280	N22	Sample 334			0	
True	65280	N23	Sample 335			0	
True	65280	N24	Sample 336			0	
True	65280	O1	Sample 337			0	
True	65280	O2	Sample 338			0	
True	65280	O3	Sample 339			0	
True	65280	O4	Sample 340			0	
True	65280	O5	Sample 341			0	
True	65280	O6	Sample 342			0	
True	65280	O7	Sample 343			0	
True	65280	O8	Sample 344			0	
True	65280	O9	Sample 345			0	
True	65280	O10	Sample 346			0	
True	65280	O11	Sample 347			0	
True	65280	O12	Sample 348			0	
True	65280	O13	Sample 349			0	
True	65280	O14	Sample 350			0	
True	65280	O15	Sample 351			0	
True	65280	O16	Sample 352			0	
True	65280	O17	Sample 353			0	
True	65280	O18	Sample 354			0	
True	65280	O19	Sample 355			0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	65280	O22	Sample 358			0	
True	65280	O23	Sample 359			0	
True	65280	O24	Sample 360			0	
True	65280	P1	Sample 361			0	
True	65280	P2	Sample 362			0	
True	65280	P3	Sample 363			0	
True	65280	P4	Sample 364			0	
True	65280	P5	Sample 365			0	
True	65280	P6	Sample 366			0	
True	65280	P7	Sample 367			0	
True	65280	P8	Sample 368			0	
True	65280	P9	Sample 369			0	
True	65280	P10	Sample 370			0	
True	65280	P11	Sample 371			0	
True	65280	P12	Sample 372			0	
True	65280	P13	Sample 373			0	
True	65280	P14	Sample 374			0	
True	65280	P15	Sample 375			0	
True	65280	P16	Sample 376			0	
True	65280	P17	Sample 377			0	
True	65280	P18	Sample 378			0	
True	65280	P19	Sample 379			0	
True	65280	P20	Sample 380			0	
True	65280	P21	Sample 381			0	
True	65280	P22	Sample 382			0	
True	65280	P23	Sample 383			0	
True	65280	P24	Sample 384			0	
